id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus_meninggal,satuan,tahun
329,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,7,ORANG,2020
330,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,2,ORANG,2020
331,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,15,ORANG,2020
332,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,6,ORANG,2020
333,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,6,ORANG,2020
334,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,1,ORANG,2020
335,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,3,ORANG,2020
336,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,0,ORANG,2020
337,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,2,ORANG,2020
338,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,4,ORANG,2020
339,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,1,ORANG,2020
340,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,2,ORANG,2020
341,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,6,ORANG,2020
342,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,9,ORANG,2020
343,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,1,ORANG,2020
344,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,5,ORANG,2020
345,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,5,ORANG,2020
346,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,2,ORANG,2020
347,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,2,ORANG,2020
348,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,1,ORANG,2020
349,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,2,ORANG,2020
350,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,2,ORANG,2020
351,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,ORANG,2020
352,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,0,ORANG,2020
353,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,5,ORANG,2020
354,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,8,ORANG,2020
355,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,2,ORANG,2020
356,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,3,ORANG,2020
357,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,2,ORANG,2020
358,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,1,ORANG,2020
359,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,ORANG,2020
360,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,0,ORANG,2020
361,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,3,ORANG,2020
362,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,3,ORANG,2020
363,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,2,ORANG,2020
364,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,1,ORANG,2020
365,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,10,ORANG,2020
366,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,4,ORANG,2020
367,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,0,ORANG,2020
